net53 (interpolated wth step=1e-06) X,net53 (interpolated wth step=1e-06) Y,net9 (interpolated wth step=1e-06) X,net9 (interpolated wth step=1e-06) Y,net8 (interpolated wth step=1e-06) X,net8 (interpolated wth step=1e-06) Y,net7 (interpolated wth step=1e-06) X,net7 (interpolated wth step=1e-06) Y,net69 (interpolated wth step=1e-06) X,net69 (interpolated wth step=1e-06) Y,net64 (interpolated wth step=1e-06) X,net64 (interpolated wth step=1e-06) Y,net63 (interpolated wth step=1e-06) X,net63 (interpolated wth step=1e-06) Y,net62 (interpolated wth step=1e-06) X,net62 (interpolated wth step=1e-06) Y,net61 (interpolated wth step=1e-06) X,net61 (interpolated wth step=1e-06) Y,net60 (interpolated wth step=1e-06) X,net60 (interpolated wth step=1e-06) Y,net6 (interpolated wth step=1e-06) X,net6 (interpolated wth step=1e-06) Y,net59 (interpolated wth step=1e-06) X,net59 (interpolated wth step=1e-06) Y,net58 (interpolated wth step=1e-06) X,net58 (interpolated wth step=1e-06) Y,net57 (interpolated wth step=1e-06) X,net57 (interpolated wth step=1e-06) Y,net56 (interpolated wth step=1e-06) X,net56 (interpolated wth step=1e-06) Y,net55 (interpolated wth step=1e-06) X,net55 (interpolated wth step=1e-06) Y,net54 (interpolated wth step=1e-06) X,net54 (interpolated wth step=1e-06) Y,net52 (interpolated wth step=1e-06) X,net52 (interpolated wth step=1e-06) Y,net51 (interpolated wth step=1e-06) X,net51 (interpolated wth step=1e-06) Y,net50 (interpolated wth step=1e-06) X,net50 (interpolated wth step=1e-06) Y,net5 (interpolated wth step=1e-06) X,net5 (interpolated wth step=1e-06) Y,net49 (interpolated wth step=1e-06) X,net49 (interpolated wth step=1e-06) Y,net48 (interpolated wth step=1e-06) X,net48 (interpolated wth step=1e-06) Y,net47 (interpolated wth step=1e-06) X,net47 (interpolated wth step=1e-06) Y,net46 (interpolated wth step=1e-06) X,net46 (interpolated wth step=1e-06) Y,net45 (interpolated wth step=1e-06) X,net45 (interpolated wth step=1e-06) Y,net44 (interpolated wth step=1e-06) X,net44 (interpolated wth step=1e-06) Y,net43 (interpolated wth step=1e-06) X,net43 (interpolated wth step=1e-06) Y,net42 (interpolated wth step=1e-06) X,net42 (interpolated wth step=1e-06) Y,net41 (interpolated wth step=1e-06) X,net41 (interpolated wth step=1e-06) Y,net40 (interpolated wth step=1e-06) X,net40 (interpolated wth step=1e-06) Y,net4 (interpolated wth step=1e-06) X,net4 (interpolated wth step=1e-06) Y,net39 (interpolated wth step=1e-06) X,net39 (interpolated wth step=1e-06) Y,net38 (interpolated wth step=1e-06) X,net38 (interpolated wth step=1e-06) Y,net37 (interpolated wth step=1e-06) X,net37 (interpolated wth step=1e-06) Y,net36 (interpolated wth step=1e-06) X,net36 (interpolated wth step=1e-06) Y,net35 (interpolated wth step=1e-06) X,net35 (interpolated wth step=1e-06) Y,net34 (interpolated wth step=1e-06) X,net34 (interpolated wth step=1e-06) Y,net33 (interpolated wth step=1e-06) X,net33 (interpolated wth step=1e-06) Y,net32 (interpolated wth step=1e-06) X,net32 (interpolated wth step=1e-06) Y,net31 (interpolated wth step=1e-06) X,net31 (interpolated wth step=1e-06) Y,net30 (interpolated wth step=1e-06) X,net30 (interpolated wth step=1e-06) Y,net3 (interpolated wth step=1e-06) X,net3 (interpolated wth step=1e-06) Y,net29 (interpolated wth step=1e-06) X,net29 (interpolated wth step=1e-06) Y,net28 (interpolated wth step=1e-06) X,net28 (interpolated wth step=1e-06) Y,net27 (interpolated wth step=1e-06) X,net27 (interpolated wth step=1e-06) Y,net26 (interpolated wth step=1e-06) X,net26 (interpolated wth step=1e-06) Y,net25 (interpolated wth step=1e-06) X,net25 (interpolated wth step=1e-06) Y,net24 (interpolated wth step=1e-06) X,net24 (interpolated wth step=1e-06) Y,net23 (interpolated wth step=1e-06) X,net23 (interpolated wth step=1e-06) Y,net22 (interpolated wth step=1e-06) X,net22 (interpolated wth step=1e-06) Y,net21 (interpolated wth step=1e-06) X,net21 (interpolated wth step=1e-06) Y,net20 (interpolated wth step=1e-06) X,net20 (interpolated wth step=1e-06) Y,net19 (interpolated wth step=1e-06) X,net19 (interpolated wth step=1e-06) Y,net18 (interpolated wth step=1e-06) X,net18 (interpolated wth step=1e-06) Y,net17 (interpolated wth step=1e-06) X,net17 (interpolated wth step=1e-06) Y,net16 (interpolated wth step=1e-06) X,net16 (interpolated wth step=1e-06) Y,net15 (interpolated wth step=1e-06) X,net15 (interpolated wth step=1e-06) Y,net14 (interpolated wth step=1e-06) X,net14 (interpolated wth step=1e-06) Y,net13 (interpolated wth step=1e-06) X,net13 (interpolated wth step=1e-06) Y,net12 (interpolated wth step=1e-06) X,net12 (interpolated wth step=1e-06) Y,net11 (interpolated wth step=1e-06) X,net11 (interpolated wth step=1e-06) Y,net10 (interpolated wth step=1e-06) X,net10 (interpolated wth step=1e-06) Y,net076 (interpolated wth step=1e-06) X,net076 (interpolated wth step=1e-06) Y,net075 (interpolated wth step=1e-06) X,net075 (interpolated wth step=1e-06) Y,net067 (interpolated wth step=1e-06) X,net067 (interpolated wth step=1e-06) Y
2.5e-07,1.319405832514311e-06,2.5e-07,1.319649919900487e-06,2.5e-07,1.319649922834018e-06,2.5e-07,1.319649864436586e-06,2.5e-07,1.2,2.5e-07,1.320005168459707e-06,2.5e-07,1.31965017006281e-06,2.5e-07,1.31964614531869e-06,2.5e-07,1.319647392580158e-06,2.5e-07,1.320000550019114e-06,2.5e-07,1.319649864145101e-06,2.5e-07,1.199830563192919,2.5e-07,1.319982444560104e-06,2.5e-07,1.19983057035988,2.5e-07,1.199830570949402,2.5e-07,1.319702792484196e-06,2.5e-07,1.319423999287521e-06,2.5e-07,1.199830570358424,2.5e-07,1.319584701976537e-06,2.5e-07,1.319637503120059e-06,2.5e-07,1.319649941950277e-06,2.5e-07,1.319405233011035e-06,2.5e-07,1.19983057096192,2.5e-07,1.319699924998298e-06,2.5e-07,1.319423296596933e-06,2.5e-07,1.199830570955744,2.5e-07,1.199830570954485,2.5e-07,1.320002937234155e-06,2.5e-07,1.319638551705607e-06,2.5e-07,1.319425254028578e-06,2.5e-07,1.319435458004972e-06,2.5e-07,1.319649937226239e-06,2.5e-07,1.319426583203305e-06,2.5e-07,1.319424592233025e-06,2.5e-07,1.319710756917355e-06,2.5e-07,1.319711814319836e-06,2.5e-07,1.319658875822973e-06,2.5e-07,1.319640119961276e-06,2.5e-07,1.3194262813051e-06,2.5e-07,1.319426303737662e-06,2.5e-07,1.319426329080531e-06,2.5e-07,1.319426280608215e-06,2.5e-07,1.319874551119893e-06,2.5e-07,1.319427471584951e-06,2.5e-07,1.31942747736545e-06,2.5e-07,1.319650518861659e-06,2.5e-07,1.319640192325589e-06,2.5e-07,1.319426291937463e-06,2.5e-07,1.319426231273754e-06,2.5e-07,1.319426217082306e-06,2.5e-07,1.319426281690546e-06,2.5e-07,1.319426294299006e-06,2.5e-07,1.319426176998563e-06,2.5e-07,1.318495824655645e-06,2.5e-07,1.319640157907175e-06,2.5e-07,1.319427296904453e-06,2.5e-07,1.319427216143033e-06,2.5e-07,1.319427248236443e-06,2.5e-07,1.319427221333146e-06,2.5e-07,1.319427272956086e-06,2.5e-07,1.319427182572857e-06,2.5e-07,1.319652201819009e-06,2.5e-07,1.319860644664952e-06,2.5e-07,1.199830563279047,2.5e-07,1.31960925118738e-06,2.5e-07,0
1.25e-06,1.199830560115535,1.25e-06,1.314261996037416e-06,1.25e-06,1.314262006724418e-06,1.25e-06,1.314261974524644e-06,1.25e-06,1.2,1.25e-06,1.313760872145773e-06,1.25e-06,1.313767253812944e-06,1.25e-06,1.313407954223576e-06,1.25e-06,1.313951391974388e-06,1.25e-06,1.313919509490844e-06,1.25e-06,1.314261955577279e-06,1.25e-06,1.316817616385924e-06,1.25e-06,1.313901881126938e-06,1.25e-06,1.199830560096908,1.25e-06,1.199830560074679,1.25e-06,1.312932922587019e-06,1.25e-06,1.312963524098403e-06,1.25e-06,1.199830560076237,1.25e-06,1.199830560883929,1.25e-06,1.313841141872431e-06,1.25e-06,1.314261982146175e-06,1.25e-06,1.199830560087026,1.25e-06,1.19983056008715,1.25e-06,1.312641829630789e-06,1.25e-06,1.312926431942715e-06,1.25e-06,1.19983056007894,1.25e-06,1.199830560060971,1.25e-06,1.314359606886396e-06,1.25e-06,1.314279455379788e-06,1.25e-06,1.313238516707409e-06,1.25e-06,1.313203323684243e-06,1.25e-06,1.314261981887948e-06,1.25e-06,1.313200180679835e-06,1.25e-06,1.313215521347166e-06,1.25e-06,1.313217499822492e-06,1.25e-06,1.313203896759202e-06,1.25e-06,1.314306543847676e-06,1.25e-06,1.314241310254764e-06,1.25e-06,1.313188525227625e-06,1.25e-06,1.313188239932909e-06,1.25e-06,1.313188268450727e-06,1.25e-06,1.313188263017356e-06,1.25e-06,1.316419659331028e-06,1.25e-06,1.313188240230686e-06,1.25e-06,1.313188294926219e-06,1.25e-06,1.314306543518136e-06,1.25e-06,1.314241312458638e-06,1.25e-06,1.313188332702187e-06,1.25e-06,1.313188298290063e-06,1.25e-06,1.313188308866612e-06,1.25e-06,1.313188268023362e-06,1.25e-06,1.31318831137712e-06,1.25e-06,1.313188326066117e-06,1.25e-06,1.314306593698556e-06,1.25e-06,1.31424135477299e-06,1.25e-06,1.313197288884003e-06,1.25e-06,1.313197267989696e-06,1.25e-06,1.313197255487066e-06,1.25e-06,1.313197273511554e-06,1.25e-06,1.313197278489158e-06,1.25e-06,1.31319729434007e-06,1.25e-06,1.314318857082921e-06,1.25e-06,1.316376665607858e-06,1.25e-06,1.317101993628262e-06,1.25e-06,1.199830560773525,1.25e-06,0
2.25e-06,1.199830539702054,2.25e-06,1.302331860473173e-06,2.25e-06,1.302331916862943e-06,2.25e-06,1.302331899359812e-06,2.25e-06,1.2,2.25e-06,1.199830541861503,2.25e-06,1.302978802668964e-06,2.25e-06,1.303484025926346e-06,2.25e-06,1.301556596603533e-06,2.25e-06,1.199830541498501,2.25e-06,1.3023318303699e-06,2.25e-06,1.30893628963908e-06,2.25e-06,1.199830540798875,2.25e-06,1.303481370024965e-06,2.25e-06,1.303275655178856e-06,2.25e-06,1.299363031812751e-06,2.25e-06,1.300418932709481e-06,2.25e-06,1.303743296680776e-06,2.25e-06,1.199830541369585,2.25e-06,1.30170075694835e-06,2.25e-06,1.302331817917457e-06,2.25e-06,1.199830539572553,2.25e-06,1.199830539468727,2.25e-06,1.299153650858898e-06,2.25e-06,1.298979742570695e-06,2.25e-06,1.199830539457262,2.25e-06,1.309527671458404e-06,2.25e-06,1.199830541828801,2.25e-06,1.302365807169687e-06,2.25e-06,1.29922270425806e-06,2.25e-06,1.299172801252257e-06,2.25e-06,1.302331973572763e-06,2.25e-06,1.299163501342863e-06,2.25e-06,1.298934982337666e-06,2.25e-06,1.299301302353901e-06,2.25e-06,1.299485506231904e-06,2.25e-06,1.302383156185206e-06,2.25e-06,1.302261331838719e-06,2.25e-06,1.299114130090058e-06,2.25e-06,1.299114079879203e-06,2.25e-06,1.299114107263268e-06,2.25e-06,1.299110153446012e-06,2.25e-06,1.309428310700898e-06,2.25e-06,1.299109542183931e-06,2.25e-06,1.29911011279957e-06,2.25e-06,1.302480514580043e-06,2.25e-06,1.302261340820104e-06,2.25e-06,1.29911424793195e-06,2.25e-06,1.299114268105126e-06,2.25e-06,1.299114285947441e-06,2.25e-06,1.299114147521124e-06,2.25e-06,1.299114210425308e-06,2.25e-06,1.29911424614996e-06,2.25e-06,1.302482251929504e-06,2.25e-06,1.302261411495366e-06,2.25e-06,1.299145023821576e-06,2.25e-06,1.299144909436255e-06,2.25e-06,1.299144944941293e-06,2.25e-06,1.299144878895315e-06,2.25e-06,1.29914484273813e-06,2.25e-06,1.299145001822605e-06,2.25e-06,1.30252513537576e-06,2.25e-06,1.309280249257821e-06,2.25e-06,1.309394629487874e-06,2.25e-06,1.199830541490592,2.25e-06,0
3.249999999999999e-06,1.199830564324567,3.249999999999999e-06,1.316671215723373e-06,3.249999999999999e-06,1.316671212132708e-06,3.249999999999999e-06,1.316671208243694e-06,3.249999999999999e-06,1.2,3.249999999999999e-06,1.317234900054996e-06,3.249999999999999e-06,1.316957223189147e-06,3.249999999999999e-06,1.316883581550195e-06,3.249999999999999e-06,1.31671051156154e-06,3.249999999999999e-06,1.199830564716551,3.249999999999999e-06,1.316671208852132e-06,3.249999999999999e-06,1.317608434203669e-06,3.249999999999999e-06,1.199830564620018,3.249999999999999e-06,1.316266334998149e-06,3.249999999999999e-06,1.316086385119362e-06,3.249999999999999e-06,1.316166429682238e-06,3.249999999999999e-06,1.316222052071545e-06,3.249999999999999e-06,1.316303388816793e-06,3.249999999999999e-06,1.199830564771586,3.249999999999999e-06,1.316713449821516e-06,3.249999999999999e-06,1.316671216139881e-06,3.249999999999999e-06,1.199830564322603,3.249999999999999e-06,1.314827413489184e-06,3.249999999999999e-06,1.316382738924779e-06,3.249999999999999e-06,1.316132493019903e-06,3.249999999999999e-06,1.314826217795599e-06,3.249999999999999e-06,1.316489567857251e-06,3.249999999999999e-06,1.316627899153997e-06,3.249999999999999e-06,1.316705710481464e-06,3.249999999999999e-06,1.316052384234013e-06,3.249999999999999e-06,1.316074976888887e-06,3.249999999999999e-06,1.316671215142254e-06,3.249999999999999e-06,1.316258357824483e-06,3.249999999999999e-06,1.316264028789292e-06,3.249999999999999e-06,1.316403558110138e-06,3.249999999999999e-06,1.31605262536007e-06,3.249999999999999e-06,1.316767114785479e-06,3.249999999999999e-06,1.316662111316714e-06,3.249999999999999e-06,1.316181323072045e-06,3.249999999999999e-06,1.316181338365248e-06,3.249999999999999e-06,1.316181440108466e-06,3.249999999999999e-06,1.316181459241878e-06,3.249999999999999e-06,1.317635228451115e-06,3.249999999999999e-06,1.316181173756249e-06,3.249999999999999e-06,1.316181323262136e-06,3.249999999999999e-06,1.316690613687651e-06,3.249999999999999e-06,1.316662101360381e-06,3.249999999999999e-06,1.316181837080665e-06,3.249999999999999e-06,1.316181826098795e-06,3.249999999999999e-06,1.316181828435792e-06,3.249999999999999e-06,1.316181821828188e-06,3.249999999999999e-06,1.316181827257056e-06,3.249999999999999e-06,1.316181841974546e-06,3.249999999999999e-06,1.316690996411475e-06,3.249999999999999e-06,1.316662097473647e-06,3.249999999999999e-06,1.316185792801017e-06,3.249999999999999e-06,1.316185795329951e-06,3.249999999999999e-06,1.31618580353026e-06,3.249999999999999e-06,1.316185790573635e-06,3.249999999999999e-06,1.316185804930363e-06,3.249999999999999e-06,1.316185809843826e-06,3.249999999999999e-06,1.316696410139837e-06,3.249999999999999e-06,1.317616302405388e-06,3.249999999999999e-06,1.317628046666747e-06,3.249999999999999e-06,1.199830564750172,3.249999999999999e-06,0
4.249999999999999e-06,1.318008552288254e-06,4.249999999999999e-06,1.320484468405407e-06,4.249999999999999e-06,1.32048446327454e-06,4.249999999999999e-06,1.32048446517184e-06,4.249999999999999e-06,1.2,4.249999999999999e-06,1.320471722956339e-06,4.249999999999999e-06,1.319893655632827e-06,4.249999999999999e-06,1.320198451477846e-06,4.249999999999999e-06,1.319892188000022e-06,4.249999999999999e-06,1.199830570724572,4.249999999999999e-06,1.320484468827117e-06,4.249999999999999e-06,1.319772670367763e-06,4.249999999999999e-06,1.199830570743722,4.249999999999999e-06,1.199830570351721,4.249999999999999e-06,1.319894410139272e-06,4.249999999999999e-06,1.319718616708681e-06,4.249999999999999e-06,1.320044237038817e-06,4.249999999999999e-06,1.199830570345222,4.249999999999999e-06,1.319251692278277e-06,4.249999999999999e-06,1.320220593147445e-06,4.249999999999999e-06,1.320484463758329e-06,4.249999999999999e-06,1.318017892744649e-06,4.249999999999999e-06,1.319582329461575e-06,4.249999999999999e-06,1.319725427675261e-06,4.249999999999999e-06,1.320046309483457e-06,4.249999999999999e-06,1.319600653368025e-06,4.249999999999999e-06,1.319906521364091e-06,4.249999999999999e-06,1.320212714781988e-06,4.249999999999999e-06,1.320211802445221e-06,4.249999999999999e-06,1.320061727238108e-06,4.249999999999999e-06,1.320353557294019e-06,4.249999999999999e-06,1.320484457165645e-06,4.249999999999999e-06,1.320353695822489e-06,4.249999999999999e-06,1.320353543481315e-06,4.249999999999999e-06,1.320353599079032e-06,4.249999999999999e-06,1.320353432185585e-06,4.249999999999999e-06,1.320478107139219e-06,4.249999999999999e-06,1.320488801791482e-06,4.249999999999999e-06,1.320353528000084e-06,4.249999999999999e-06,1.32035331697823e-06,4.249999999999999e-06,1.320353310828528e-06,4.249999999999999e-06,1.32035331084641e-06,4.249999999999999e-06,1.320310590752953e-06,4.249999999999999e-06,1.320353314734657e-06,4.249999999999999e-06,1.320353297678986e-06,4.249999999999999e-06,1.320477860194435e-06,4.249999999999999e-06,1.320488807775369e-06,4.249999999999999e-06,1.320353291550629e-06,4.249999999999999e-06,1.320353303365711e-06,4.249999999999999e-06,1.320353303845784e-06,4.249999999999999e-06,1.320353306094004e-06,4.249999999999999e-06,1.320353308765769e-06,4.249999999999999e-06,1.320353293393746e-06,4.249999999999999e-06,1.320477838761342e-06,4.249999999999999e-06,1.320488798915056e-06,4.249999999999999e-06,1.32035168930886e-06,4.249999999999999e-06,1.320351701030515e-06,4.249999999999999e-06,1.320351710818388e-06,4.249999999999999e-06,1.320351707657783e-06,4.249999999999999e-06,1.320351703378124e-06,4.249999999999999e-06,1.320351688502005e-06,4.249999999999999e-06,1.32047501315e-06,4.249999999999999e-06,1.32031998362966e-06,4.249999999999999e-06,1.320048119082938e-06,4.249999999999999e-06,1.320448113831014e-06,4.249999999999999e-06,0
