/net10 X,/net10 Y,/net9 X,/net9 Y,/net8 X,/net8 Y,/net7 X,/net7 Y,/net6 X,/net6 Y,/net5 X,/net5 Y,/net4 X,/net4 Y,/net3 X,/net3 Y,/net18 X,/net18 Y,/net17 X,/net17 Y,/net16 X,/net16 Y,/net15 X,/net15 Y,/net14 X,/net14 Y,/net13 X,/net13 Y,/net12 X,/net12 Y,/net11 X,/net11 Y,/net26 X,/net26 Y,/net25 X,/net25 Y,/net24 X,/net24 Y,/net23 X,/net23 Y,/net22 X,/net22 Y,/net21 X,/net21 Y,/net20 X,/net20 Y,/net19 X,/net19 Y,/net34 X,/net34 Y,/net33 X,/net33 Y,/net32 X,/net32 Y,/net31 X,/net31 Y,/net30 X,/net30 Y,/net29 X,/net29 Y,/net28 X,/net28 Y,/net27 X,/net27 Y,/net42 X,/net42 Y,/net41 X,/net41 Y,/net40 X,/net40 Y,/net39 X,/net39 Y,/net38 X,/net38 Y,/net37 X,/net37 Y,/net36 X,/net36 Y,/net35 X,/net35 Y,/net50 X,/net50 Y,/net49 X,/net49 Y,/net48 X,/net48 Y,/net47 X,/net47 Y,/net46 X,/net46 Y,/net45 X,/net45 Y,/net44 X,/net44 Y,/net43 X,/net43 Y,/net58 X,/net58 Y,/net57 X,/net57 Y,/net56 X,/net56 Y,/net55 X,/net55 Y,/net54 X,/net54 Y,/net53 X,/net53 Y,/net52 X,/net52 Y,/net51 X,/net51 Y,/net076 X,/net076 Y,/net075 X,/net075 Y,/net64 X,/net64 Y,/net63 X,/net63 Y,/net62 X,/net62 Y,/net61 X,/net61 Y,/net60 X,/net60 Y,/net59 X,/net59 Y,/net69 X,/net69 Y,/net067 X,/net067 Y
2.5e-07,1.318483527116591e-06,2.5e-07,1.318483528670801e-06,2.5e-07,1.318483527455086e-06,2.5e-07,1.318483525090582e-06,2.5e-07,1.318483526765871e-06,2.5e-07,1.318483524734868e-06,2.5e-07,1.318483520589178e-06,2.5e-07,1.31848352506456e-06,2.5e-07,1.318483524374139e-06,2.5e-07,1.318483528604783e-06,2.5e-07,1.318483526583056e-06,2.5e-07,1.318483520645934e-06,2.5e-07,1.318483530078313e-06,2.5e-07,1.318483529451554e-06,2.5e-07,1.318483532607864e-06,2.5e-07,1.31848352653805e-06,2.5e-07,1.318483526338015e-06,2.5e-07,1.318483523778073e-06,2.5e-07,1.318483504371756e-06,2.5e-07,1.318483504173705e-06,2.5e-07,1.199830567354513,2.5e-07,1.318483535169278e-06,2.5e-07,1.318483531124873e-06,2.5e-07,1.318483528013557e-06,2.5e-07,1.318483528360539e-06,2.5e-07,1.31848352046344e-06,2.5e-07,1.318483504340052e-06,2.5e-07,1.199830567354518,2.5e-07,1.199830567354241,2.5e-07,1.199830567354517,2.5e-07,1.318483525100987e-06,2.5e-07,1.318483526324299e-06,2.5e-07,1.318483525851699e-06,2.5e-07,1.318483529632578e-06,2.5e-07,1.318483505123206e-06,2.5e-07,1.318483505919705e-06,2.5e-07,1.199830567354514,2.5e-07,1.318483494181116e-06,2.5e-07,1.318483528326772e-06,2.5e-07,1.318483526669318e-06,2.5e-07,1.318483526147617e-06,2.5e-07,1.31848352573224e-06,2.5e-07,1.318483527768119e-06,2.5e-07,1.318483525381066e-06,2.5e-07,1.318483531361545e-06,2.5e-07,1.318483517446506e-06,2.5e-07,1.318483532461335e-06,2.5e-07,1.318483526340678e-06,2.5e-07,1.318483524375238e-06,2.5e-07,1.318483522224843e-06,2.5e-07,1.31848352475824e-06,2.5e-07,1.318483531505274e-06,2.5e-07,1.318483525269319e-06,2.5e-07,1.318483528599151e-06,2.5e-07,1.318483520840034e-06,2.5e-07,1.318483526910685e-06,2.5e-07,1.318483524746936e-06,2.5e-07,1.318483524191574e-06,2.5e-07,1.31848352890168e-06,2.5e-07,1.318483524943128e-06,2.5e-07,1.318483528347506e-06,2.5e-07,1.318483523922038e-06,2.5e-07,1.318483526162003e-06,2.5e-07,1.318483524963041e-06,2.5e-07,1.2,2.5e-07,0
1.25e-06,1.318483525158326e-06,1.25e-06,1.318483480797536e-06,1.25e-06,1.318483482324443e-06,1.25e-06,1.31848344104179e-06,1.25e-06,1.31848348638048e-06,1.25e-06,1.318483486282865e-06,1.25e-06,1.318483524400772e-06,1.25e-06,1.318483526099188e-06,1.25e-06,1.318483526429309e-06,1.25e-06,1.318486950757434e-06,1.25e-06,1.318490236562895e-06,1.25e-06,1.318484140126533e-06,1.25e-06,1.318483911891939e-06,1.25e-06,1.318483987414363e-06,1.25e-06,1.318486479396664e-06,1.25e-06,1.31848348228059e-06,1.25e-06,1.318483526069547e-06,1.25e-06,1.339370699003464e-06,1.25e-06,1.353090096869349e-06,1.25e-06,1.199830567354595,1.25e-06,1.199830567354327,1.25e-06,1.199830567354603,1.25e-06,1.339124920871746e-06,1.25e-06,1.318486690941352e-06,1.25e-06,1.318483525466974e-06,1.25e-06,1.360679832470912e-06,1.25e-06,1.3751564868792e-06,1.25e-06,1.199830567354312,1.25e-06,1.326208782762509e-06,1.25e-06,1.199830567354316,1.25e-06,1.361359447199563e-06,1.25e-06,1.339790819074453e-06,1.25e-06,1.318483528342547e-06,1.25e-06,1.360848185190782e-06,1.25e-06,1.396876305118052e-06,1.25e-06,1.199830567354579,1.25e-06,1.199830567351333,1.25e-06,1.199830567354575,1.25e-06,1.339213977284567e-06,1.25e-06,1.318483895331979e-06,1.25e-06,1.318483528214814e-06,1.25e-06,1.339722577999035e-06,1.25e-06,1.383454180986572e-06,1.25e-06,1.383532708129115e-06,1.25e-06,1.405426949913345e-06,1.25e-06,1.382390912766147e-06,1.25e-06,1.361581936685709e-06,1.25e-06,1.339778578649051e-06,1.25e-06,1.318483523764788e-06,1.25e-06,1.318481533494461e-06,1.25e-06,1.339584392010952e-06,1.25e-06,1.339764015848359e-06,1.25e-06,1.361319547428341e-06,1.25e-06,1.33966671485907e-06,1.25e-06,1.339813403240552e-06,1.25e-06,1.318481147676876e-06,1.25e-06,1.31848352618802e-06,1.25e-06,1.318483629130456e-06,1.25e-06,1.318481047872012e-06,1.25e-06,1.318481033409602e-06,1.25e-06,1.318478325368817e-06,1.25e-06,1.318481038908352e-06,1.25e-06,1.318481026783677e-06,1.25e-06,1.318483626184963e-06,1.25e-06,1.2,1.25e-06,0
2.25e-06,1.318483526764202e-06,2.25e-06,1.318483525824972e-06,2.25e-06,1.318483664606119e-06,2.25e-06,1.318484928691659e-06,2.25e-06,1.318483695676421e-06,2.25e-06,1.31848345244346e-06,2.25e-06,1.318483488337358e-06,2.25e-06,1.318483526720196e-06,2.25e-06,1.318483526131619e-06,2.25e-06,1.318483451314538e-06,2.25e-06,1.318483710085434e-06,2.25e-06,1.350999025530668e-06,2.25e-06,1.199830567354495,2.25e-06,1.318484083055554e-06,2.25e-06,1.318483897829071e-06,2.25e-06,1.31848352681937e-06,2.25e-06,1.318483818129428e-06,2.25e-06,1.318485085753805e-06,2.25e-06,1.318484109656399e-06,2.25e-06,1.199830567352266,2.25e-06,1.33479928234128e-06,2.25e-06,1.1998305673545,2.25e-06,1.318483949778757e-06,2.25e-06,1.318484612617035e-06,2.25e-06,1.318483967749661e-06,2.25e-06,1.345566719931382e-06,2.25e-06,1.199830567354492,2.25e-06,1.33859273428729e-06,2.25e-06,1.349469516448513e-06,2.25e-06,1.318483497848697e-06,2.25e-06,1.199830567354492,2.25e-06,1.345831832276968e-06,2.25e-06,1.318483969458452e-06,2.25e-06,1.345815489292049e-06,2.25e-06,1.347328608597123e-06,2.25e-06,1.199830567353958,2.25e-06,1.351239696624202e-06,2.25e-06,1.199830567354491,2.25e-06,1.351507631566201e-06,2.25e-06,1.35185224843377e-06,2.25e-06,1.318483820860367e-06,2.25e-06,1.345932712679727e-06,2.25e-06,1.345874822606627e-06,2.25e-06,1.399269590048664e-06,2.25e-06,1.199830567352276,2.25e-06,1.345528266683613e-06,2.25e-06,1.345814964395524e-06,2.25e-06,1.318482818050452e-06,2.25e-06,1.318483526099843e-06,2.25e-06,1.318482704090317e-06,2.25e-06,1.318483179001722e-06,2.25e-06,1.351773077055513e-06,2.25e-06,1.37888669909812e-06,2.25e-06,1.379486317595037e-06,2.25e-06,1.34598298615156e-06,2.25e-06,1.318483609262517e-06,2.25e-06,1.318483526587694e-06,2.25e-06,1.318483526902714e-06,2.25e-06,1.318483785134856e-06,2.25e-06,1.318482845357732e-06,2.25e-06,1.318481789855265e-06,2.25e-06,1.318481859273363e-06,2.25e-06,1.318482794227851e-06,2.25e-06,1.318483526021522e-06,2.25e-06,1.2,2.25e-06,0
3.249999999999999e-06,1.318483526228199e-06,3.249999999999999e-06,1.318483525487745e-06,3.249999999999999e-06,1.318482702385759e-06,3.249999999999999e-06,1.318482718956856e-06,3.249999999999999e-06,1.318483525615196e-06,3.249999999999999e-06,1.318483526508376e-06,3.249999999999999e-06,1.318483526446587e-06,3.249999999999999e-06,1.318483525951169e-06,3.249999999999999e-06,1.318483525592741e-06,3.249999999999999e-06,1.318482709018419e-06,3.249999999999999e-06,1.284155750733856e-06,3.249999999999999e-06,1.285229279969745e-06,3.249999999999999e-06,1.199830567354513,3.249999999999999e-06,1.318483531474857e-06,3.249999999999999e-06,1.318483523353742e-06,3.249999999999999e-06,1.318483525700008e-06,3.249999999999999e-06,1.31848352658397e-06,3.249999999999999e-06,1.284284398124512e-06,3.249999999999999e-06,1.21369302105758e-06,3.249999999999999e-06,1.199830567355892,3.249999999999999e-06,1.19983056735424,3.249999999999999e-06,1.199830567354231,3.249999999999999e-06,1.318483547685861e-06,3.249999999999999e-06,1.318483524425798e-06,3.249999999999999e-06,1.318483526453621e-06,3.249999999999999e-06,1.283690221308164e-06,3.249999999999999e-06,1.199830567359634,3.249999999999999e-06,1.19983056735423,3.249999999999999e-06,1.179122193340677e-06,3.249999999999999e-06,1.199830567354231,3.249999999999999e-06,1.199830567354513,3.249999999999999e-06,1.318483530002788e-06,3.249999999999999e-06,1.318483526996532e-06,3.249999999999999e-06,1.282652777500015e-06,3.249999999999999e-06,1.282372858330778e-06,3.249999999999999e-06,1.199830567354232,3.249999999999999e-06,1.199830567361947,3.249999999999999e-06,1.199830567354232,3.249999999999999e-06,1.318483140021177e-06,3.249999999999999e-06,1.318483534950879e-06,3.249999999999999e-06,1.318483525319468e-06,3.249999999999999e-06,1.318483776598211e-06,3.249999999999999e-06,1.318483778371752e-06,3.249999999999999e-06,1.317636087157428e-06,3.249999999999999e-06,1.199830567354512,3.249999999999999e-06,1.317733951181983e-06,3.249999999999999e-06,1.317725060836938e-06,3.249999999999999e-06,1.31848353675549e-06,3.249999999999999e-06,1.318483527060965e-06,3.249999999999999e-06,1.318483531291841e-06,3.249999999999999e-06,1.318483551804086e-06,3.249999999999999e-06,1.318483253114532e-06,3.249999999999999e-06,1.318483565252907e-06,3.249999999999999e-06,1.318483259192703e-06,3.249999999999999e-06,1.318483248240378e-06,3.249999999999999e-06,1.318483531961554e-06,3.249999999999999e-06,1.318483526765273e-06,3.249999999999999e-06,1.318483526808137e-06,3.249999999999999e-06,1.318483532504353e-06,3.249999999999999e-06,1.318483535913224e-06,3.249999999999999e-06,1.318483540662853e-06,3.249999999999999e-06,1.318483536495001e-06,3.249999999999999e-06,1.318483531625658e-06,3.249999999999999e-06,1.318483526874578e-06,3.249999999999999e-06,1.2,3.249999999999999e-06,0
4.249999999999999e-06,1.318483526179386e-06,4.249999999999999e-06,1.31848354236027e-06,4.249999999999999e-06,1.318483834875041e-06,4.249999999999999e-06,1.318483539822929e-06,4.249999999999999e-06,1.318483548450976e-06,4.249999999999999e-06,1.318483554869422e-06,4.249999999999999e-06,1.318484032700861e-06,4.249999999999999e-06,1.318483520423898e-06,4.249999999999999e-06,1.318483573648449e-06,4.249999999999999e-06,1.318484130142381e-06,4.249999999999999e-06,1.31625296428926e-06,4.249999999999999e-06,1.199830567354505,4.249999999999999e-06,1.199830567354506,4.249999999999999e-06,1.199830567354505,4.249999999999999e-06,1.316962346467058e-06,4.249999999999999e-06,1.318484069532336e-06,4.249999999999999e-06,1.316676816349102e-06,4.249999999999999e-06,1.316953393503547e-06,4.249999999999999e-06,1.199830567353834,4.249999999999999e-06,1.3304490006116e-06,4.249999999999999e-06,1.320176882853155e-06,4.249999999999999e-06,1.32962992336196e-06,4.249999999999999e-06,1.199830567353295,4.249999999999999e-06,1.316935133655324e-06,4.249999999999999e-06,1.314490527911274e-06,4.249999999999999e-06,1.316752423796392e-06,4.249999999999999e-06,1.199830567354506,4.249999999999999e-06,1.320840674955524e-06,4.249999999999999e-06,1.31413939367416e-06,4.249999999999999e-06,1.319529986760425e-06,4.249999999999999e-06,1.199830567354506,4.249999999999999e-06,1.313607040099427e-06,4.249999999999999e-06,1.314325502172162e-06,4.249999999999999e-06,1.314694191532224e-06,4.249999999999999e-06,1.199830567354497,4.249999999999999e-06,1.319316825106512e-06,4.249999999999999e-06,1.318643539479852e-06,4.249999999999999e-06,1.318706751419236e-06,4.249999999999999e-06,1.1998305673545,4.249999999999999e-06,1.317031645427427e-06,4.249999999999999e-06,1.3163179485417e-06,4.249999999999999e-06,1.31408083124915e-06,4.249999999999999e-06,1.31042086731327e-06,4.249999999999999e-06,1.199830567354073,4.249999999999999e-06,1.199830567353538,4.249999999999999e-06,1.199830567354025,4.249999999999999e-06,1.313610698740006e-06,4.249999999999999e-06,1.314854257770059e-06,4.249999999999999e-06,1.318483574442197e-06,4.249999999999999e-06,1.316506472389e-06,4.249999999999999e-06,1.312242576955299e-06,4.249999999999999e-06,1.311867645446359e-06,4.249999999999999e-06,1.308666441442343e-06,4.249999999999999e-06,1.31171715272216e-06,4.249999999999999e-06,1.313516867050251e-06,4.249999999999999e-06,1.316505582919734e-06,4.249999999999999e-06,1.318483525765671e-06,4.249999999999999e-06,1.318483372822078e-06,4.249999999999999e-06,1.31646843511278e-06,4.249999999999999e-06,1.316262000839921e-06,4.249999999999999e-06,1.313731239915004e-06,4.249999999999999e-06,1.31638693541224e-06,4.249999999999999e-06,1.316220836277142e-06,4.249999999999999e-06,1.318483330807478e-06,4.249999999999999e-06,1.2,4.249999999999999e-06,0
