/net076 X,/net076 Y,/net067 X,/net067 Y,/net10 X,/net10 Y,/net9 X,/net9 Y,/net8 X,/net8 Y,/net7 X,/net7 Y,/net6 X,/net6 Y,/net4 X,/net4 Y,/net3 X,/net3 Y,/net18 X,/net18 Y,/net17 X,/net17 Y,/net16 X,/net16 Y,/net15 X,/net15 Y,/net14 X,/net14 Y,/net13 X,/net13 Y,/net12 X,/net12 Y,/net11 X,/net11 Y,/net26 X,/net26 Y,/net25 X,/net25 Y,/net24 X,/net24 Y,/net23 X,/net23 Y,/net22 X,/net22 Y,/net21 X,/net21 Y,/net20 X,/net20 Y,/net19 X,/net19 Y,/net34 X,/net34 Y,/net33 X,/net33 Y,/net32 X,/net32 Y,/net31 X,/net31 Y,/net30 X,/net30 Y,/net29 X,/net29 Y,/net28 X,/net28 Y,/net27 X,/net27 Y,/net42 X,/net42 Y,/net41 X,/net41 Y,/net40 X,/net40 Y,/net39 X,/net39 Y,/net38 X,/net38 Y,/net37 X,/net37 Y,/net36 X,/net36 Y,/net35 X,/net35 Y,/net50 X,/net50 Y,/net49 X,/net49 Y,/net48 X,/net48 Y,/net47 X,/net47 Y,/net46 X,/net46 Y,/net45 X,/net45 Y,/net44 X,/net44 Y,/net43 X,/net43 Y,/net58 X,/net58 Y,/net57 X,/net57 Y,/net56 X,/net56 Y,/net55 X,/net55 Y,/net54 X,/net54 Y,/net53 X,/net53 Y,/net52 X,/net52 Y,/net51 X,/net51 Y,/net075 X,/net075 Y,/net64 X,/net64 Y,/net63 X,/net63 Y,/net62 X,/net62 Y,/net61 X,/net61 Y,/net60 X,/net60 Y,/net59 X,/net59 Y
2.5e-07,1.34097313119021e-06,2.5e-07,0,2.5e-07,1.345783391321739e-06,2.5e-07,1.343016098688192e-06,2.5e-07,1.343857097243434e-06,2.5e-07,1.344573095576834e-06,2.5e-07,1.354765133371912e-06,2.5e-07,1.346122483918433e-06,2.5e-07,1.340573278837532e-06,2.5e-07,1.360470167441618e-06,2.5e-07,1.364585925963549e-06,2.5e-07,1.358697605760089e-06,2.5e-07,1.34686012403174e-06,2.5e-07,1.352657965816597e-06,2.5e-07,1.351894121488327e-06,2.5e-07,1.370403523071735e-06,2.5e-07,1.343720683815578e-06,2.5e-07,1.355517436607344e-06,2.5e-07,1.372278155973972e-06,2.5e-07,1.36157673715015e-06,2.5e-07,1.199830601585959,2.5e-07,1.199830601444807,2.5e-07,1.199830601577522,2.5e-07,1.366183897077716e-06,2.5e-07,1.199830601492157,2.5e-07,1.361017248396545e-06,2.5e-07,1.351399661201573e-06,2.5e-07,1.37519454645387e-06,2.5e-07,1.362246888524102e-06,2.5e-07,1.345775651668329e-06,2.5e-07,1.357305456068589e-06,2.5e-07,1.349856667247621e-06,2.5e-07,1.34605277015586e-06,2.5e-07,1.348971356367228e-06,2.5e-07,1.347567410640561e-06,2.5e-07,1.349696211506151e-06,2.5e-07,1.349382464219133e-06,2.5e-07,1.366668112644322e-06,2.5e-07,1.372363469986201e-06,2.5e-07,1.346947650823957e-06,2.5e-07,1.348422557058678e-06,2.5e-07,1.34875623730767e-06,2.5e-07,1.199830601598325,2.5e-07,1.199830601396588,2.5e-07,1.199830601579709,2.5e-07,1.369897449692124e-06,2.5e-07,1.371461298929154e-06,2.5e-07,1.342134059928729e-06,2.5e-07,1.367980364382558e-06,2.5e-07,1.34456122390593e-06,2.5e-07,1.353848463981555e-06,2.5e-07,1.364575529138433e-06,2.5e-07,1.36233532798309e-06,2.5e-07,1.375116747389665e-06,2.5e-07,1.350042644836193e-06,2.5e-07,1.379320901633755e-06,2.5e-07,1.349752775603145e-06,2.5e-07,1.349155033826962e-06,2.5e-07,1.352445979088709e-06,2.5e-07,1.347483727636829e-06,2.5e-07,1.354736623858994e-06,2.5e-07,1.356521811804287e-06,2.5e-07,1.350056879839032e-06,2.5e-07,1.340605119619091e-06
1.25e-06,1.318365726944914e-06,1.25e-06,1.2,1.25e-06,1.318482517898363e-06,1.25e-06,1.318482921283618e-06,1.25e-06,1.3184832117018e-06,1.25e-06,1.318483166181917e-06,1.25e-06,1.318482662386781e-06,1.25e-06,1.318482932647208e-06,1.25e-06,1.318482776290037e-06,1.25e-06,1.318482646475831e-06,1.25e-06,1.31831300158582e-06,1.25e-06,1.318142551827263e-06,1.25e-06,1.318139470183396e-06,1.25e-06,1.199830567353364,1.25e-06,1.318138222606694e-06,1.25e-06,1.318305951319302e-06,1.25e-06,1.318339325217159e-06,1.25e-06,1.318482661263597e-06,1.25e-06,1.31814579540683e-06,1.25e-06,1.318143554365684e-06,1.25e-06,1.31781118380409e-06,1.25e-06,1.199830567354132,1.25e-06,1.317793213616148e-06,1.25e-06,1.317969602016994e-06,1.25e-06,1.317082565211894e-06,1.25e-06,1.31848267575938e-06,1.25e-06,1.318144914077427e-06,1.25e-06,1.318136107242635e-06,1.25e-06,1.318127468706287e-06,1.25e-06,1.199830567353348,1.25e-06,1.31829780283132e-06,1.25e-06,1.318306857956249e-06,1.25e-06,1.318471375461763e-06,1.25e-06,1.318204231984422e-06,1.25e-06,1.317971915265058e-06,1.25e-06,1.199830567352357,1.25e-06,1.318308696038462e-06,1.25e-06,1.318313149209564e-06,1.25e-06,1.318313620552255e-06,1.25e-06,1.318145979669008e-06,1.25e-06,1.318344197064472e-06,1.25e-06,1.318204807064195e-06,1.25e-06,1.317810542215407e-06,1.25e-06,1.199830567354129,1.25e-06,1.317815185479272e-06,1.25e-06,1.318483359268176e-06,1.25e-06,1.318483346645921e-06,1.25e-06,1.318483371695916e-06,1.25e-06,1.318482975104496e-06,1.25e-06,1.318206410500544e-06,1.25e-06,1.318126566066903e-06,1.25e-06,1.19983056735335,1.25e-06,1.317959216780076e-06,1.25e-06,1.31831239993383e-06,1.25e-06,1.318313058878998e-06,1.25e-06,1.318482818119826e-06,1.25e-06,1.318482663423128e-06,1.25e-06,1.318344274146438e-06,1.25e-06,1.318339555076599e-06,1.25e-06,1.318203783067077e-06,1.25e-06,1.318204859571835e-06,1.25e-06,1.318345097949198e-06,1.25e-06,1.318482657880818e-06,1.25e-06,1.318482523097687e-06
2.25e-06,1.314482875366914e-06,2.25e-06,1.2,2.25e-06,1.314758319034733e-06,2.25e-06,1.313623417998795e-06,2.25e-06,1.31337903596985e-06,2.25e-06,1.313394559770817e-06,2.25e-06,1.313489115721628e-06,2.25e-06,1.313622916313829e-06,2.25e-06,1.314789947327718e-06,2.25e-06,1.313608710828279e-06,2.25e-06,1.313400628463761e-06,2.25e-06,1.31323361185087e-06,2.25e-06,1.313428813937873e-06,2.25e-06,1.318460902388607e-06,2.25e-06,1.313106996956856e-06,2.25e-06,1.313203274947222e-06,2.25e-06,1.313661317281179e-06,2.25e-06,1.313608689087551e-06,2.25e-06,1.313406209886517e-06,2.25e-06,1.313307113695785e-06,2.25e-06,1.199830560801136,2.25e-06,1.199830560876034,2.25e-06,1.199830560812748,2.25e-06,1.313390145588293e-06,2.25e-06,1.31366613517665e-06,2.25e-06,1.313365296257151e-06,2.25e-06,1.313244975696563e-06,2.25e-06,1.313266672601526e-06,2.25e-06,1.313025590218488e-06,2.25e-06,1.317741626713614e-06,2.25e-06,1.313443231909313e-06,2.25e-06,1.313405881498032e-06,2.25e-06,1.313666269911279e-06,2.25e-06,1.313398504276452e-06,2.25e-06,1.313441889715968e-06,2.25e-06,1.315534179223456e-06,2.25e-06,1.313089171468373e-06,2.25e-06,1.314368612475875e-06,2.25e-06,1.313405135972211e-06,2.25e-06,1.313394023589889e-06,2.25e-06,1.313666259020141e-06,2.25e-06,1.313436106816351e-06,2.25e-06,1.199830560777579,2.25e-06,1.199830560865481,2.25e-06,1.199830560791679,2.25e-06,1.313082466102356e-06,2.25e-06,1.313204760858241e-06,2.25e-06,1.313187395292286e-06,2.25e-06,1.313652082361163e-06,2.25e-06,1.313429637254477e-06,2.25e-06,1.313033692276245e-06,2.25e-06,1.317743126760146e-06,2.25e-06,1.313450461510836e-06,2.25e-06,1.313411486084958e-06,2.25e-06,1.313399672934054e-06,2.25e-06,1.313387310209878e-06,2.25e-06,1.313661050841084e-06,2.25e-06,1.313438233709453e-06,2.25e-06,1.314347691578554e-06,2.25e-06,1.313652204434109e-06,2.25e-06,1.313639134079798e-06,2.25e-06,1.313639122546416e-06,2.25e-06,1.313624795310883e-06,2.25e-06,1.31479223495292e-06
3.249999999999999e-06,1.280567671621375e-06,3.249999999999999e-06,1.2,3.249999999999999e-06,1.280443065114992e-06,3.249999999999999e-06,1.271558958894888e-06,3.249999999999999e-06,1.271558859630497e-06,3.249999999999999e-06,1.271558806314088e-06,3.249999999999999e-06,1.271558716951418e-06,3.249999999999999e-06,1.271559063537775e-06,3.249999999999999e-06,1.280739463304384e-06,3.249999999999999e-06,1.271418674213928e-06,3.249999999999999e-06,1.271236673602269e-06,3.249999999999999e-06,1.271346844166902e-06,3.249999999999999e-06,1.271513216896258e-06,3.249999999999999e-06,1.271401300643347e-06,3.249999999999999e-06,1.271293471450466e-06,3.249999999999999e-06,1.271125858008062e-06,3.249999999999999e-06,1.271891268932251e-06,3.249999999999999e-06,1.271418675749803e-06,3.249999999999999e-06,1.271292411845048e-06,3.249999999999999e-06,1.271291933693125e-06,3.249999999999999e-06,1.199830500128499,3.249999999999999e-06,1.199830500691366,3.249999999999999e-06,1.199830500098842,3.249999999999999e-06,1.271181743976443e-06,3.249999999999999e-06,1.271942398738574e-06,3.249999999999999e-06,1.27141857786144e-06,3.249999999999999e-06,1.271292510296122e-06,3.249999999999999e-06,1.271292074754605e-06,3.249999999999999e-06,1.271689610649222e-06,3.249999999999999e-06,1.271578879016383e-06,3.249999999999999e-06,1.271689466942709e-06,3.249999999999999e-06,1.271291763947604e-06,3.249999999999999e-06,1.271942034917787e-06,3.249999999999999e-06,1.271695334409564e-06,3.249999999999999e-06,1.271568044853125e-06,3.249999999999999e-06,1.271456576174506e-06,3.249999999999999e-06,1.271457629745801e-06,3.249999999999999e-06,1.271180655130088e-06,3.249999999999999e-06,1.271291132313657e-06,3.249999999999999e-06,1.271181872098426e-06,3.249999999999999e-06,1.271942237527307e-06,3.249999999999999e-06,1.271694638941836e-06,3.249999999999999e-06,1.199830500128471,3.249999999999999e-06,1.199830500691338,3.249999999999999e-06,1.199830500098786,3.249999999999999e-06,1.27118163708766e-06,3.249999999999999e-06,1.271181930337376e-06,3.249999999999999e-06,1.271071233603945e-06,3.249999999999999e-06,1.271804155259563e-06,3.249999999999999e-06,1.271695239897867e-06,3.249999999999999e-06,1.271740977944232e-06,3.249999999999999e-06,1.271630197774449e-06,3.249999999999999e-06,1.271740780573073e-06,3.249999999999999e-06,1.271343226018721e-06,3.249999999999999e-06,1.271233560299316e-06,3.249999999999999e-06,1.271122967471461e-06,3.249999999999999e-06,1.271887984307349e-06,3.249999999999999e-06,1.271844997363998e-06,3.249999999999999e-06,1.271706847937194e-06,3.249999999999999e-06,1.271844664542661e-06,3.249999999999999e-06,1.271708536608318e-06,3.249999999999999e-06,1.271708505206962e-06,3.249999999999999e-06,1.271570185256031e-06,3.249999999999999e-06,1.280759878297771e-06
4.249999999999999e-06,1.295775852838927e-06,4.249999999999999e-06,1.2,4.249999999999999e-06,1.295696897785652e-06,4.249999999999999e-06,1.28525847598171e-06,4.249999999999999e-06,1.285258374341977e-06,4.249999999999999e-06,1.285258163222595e-06,4.249999999999999e-06,1.285258146798301e-06,4.249999999999999e-06,1.28525836621913e-06,4.249999999999999e-06,1.295956620721861e-06,4.249999999999999e-06,1.285135106234785e-06,4.249999999999999e-06,1.281865572182323e-06,4.249999999999999e-06,1.281963345540887e-06,4.249999999999999e-06,1.282084754640415e-06,4.249999999999999e-06,1.281991809440485e-06,4.249999999999999e-06,1.281902901742138e-06,4.249999999999999e-06,1.281773802775121e-06,4.249999999999999e-06,1.285578254387887e-06,4.249999999999999e-06,1.285134999181476e-06,4.249999999999999e-06,1.281911894408924e-06,4.249999999999999e-06,1.281911395520262e-06,4.249999999999999e-06,1.199830514914714,4.249999999999999e-06,1.199830515243942,4.249999999999999e-06,1.199830514896603,4.249999999999999e-06,1.281813777038778e-06,4.249999999999999e-06,1.285605706702185e-06,4.249999999999999e-06,1.285135084366794e-06,4.249999999999999e-06,1.281911748597721e-06,4.249999999999999e-06,1.281911596541531e-06,4.249999999999999e-06,1.282146068085991e-06,4.249999999999999e-06,1.282054453562126e-06,4.249999999999999e-06,1.282146113511674e-06,4.249999999999999e-06,1.281911311749288e-06,4.249999999999999e-06,1.285605348203626e-06,4.249999999999999e-06,1.285341606334788e-06,4.249999999999999e-06,1.282123958267925e-06,4.249999999999999e-06,1.282031150033784e-06,4.249999999999999e-06,1.282032158499518e-06,4.249999999999999e-06,1.281812595585768e-06,4.249999999999999e-06,1.281910573404077e-06,4.249999999999999e-06,1.281813960132296e-06,4.249999999999999e-06,1.285605427317579e-06,4.249999999999999e-06,1.285341194349582e-06,4.249999999999999e-06,1.199830514914544,4.249999999999999e-06,1.199830515243825,4.249999999999999e-06,1.1998305148963,4.249999999999999e-06,1.281813530581108e-06,4.249999999999999e-06,1.281813968213065e-06,4.249999999999999e-06,1.281722232203707e-06,4.249999999999999e-06,1.285502582687938e-06,4.249999999999999e-06,1.285341639518719e-06,4.249999999999999e-06,1.282194750262519e-06,4.249999999999999e-06,1.282102974810031e-06,4.249999999999999e-06,1.282194624471161e-06,4.249999999999999e-06,1.281960350081231e-06,4.249999999999999e-06,1.281862883242202e-06,4.249999999999999e-06,1.281771256194561e-06,4.249999999999999e-06,1.285575678205026e-06,4.249999999999999e-06,1.285473749587457e-06,4.249999999999999e-06,1.285370710287578e-06,4.249999999999999e-06,1.28547356742312e-06,4.249999999999999e-06,1.285372456625485e-06,4.249999999999999e-06,1.285372469303378e-06,4.249999999999999e-06,1.28526912894956e-06,4.249999999999999e-06,1.295974748119782e-06
